date,home_team,away_team,result,home_goals,away_goals,b365_1,b365_x,b365_2
2024-05-13,Fiorentina,Monza,H,2,1,1.55,4.2,5.75
2024-05-17,Fiorentina,Napoli,D,2,2,2.25,3.4,3.1
2024-05-18,Lecce,Atalanta,A,0,2,4.5,3.8,1.75
2024-05-18,Torino,Milan,H,3,1,2.8,3.2,2.6
2024-05-19,Sassuolo,Cagliari,A,0,2,2.35,3.3,3.1
2024-05-19,Monza,Frosinone,A,0,1,3.0,3.4,2.3
2024-05-19,Udinese,Empoli,D,1,1,2.0,3.4,3.8
2024-05-19,Inter,Lazio,D,1,1,1.62,4.0,5.0
2024-05-19,Roma,Genoa,H,1,0,1.48,4.2,7.0
2024-05-20,Salernitana,Verona,A,1,2,5.0,3.8,1.7
2024-05-20,Bologna,Juventus,D,3,3,2.45,3.1,3.1
2024-05-23,Cagliari,Fiorentina,A,2,3,4.2,3.75,1.8
2024-05-24,Genoa,Bologna,H,2,0,3.4,3.4,2.15
2024-05-25,Juventus,Monza,H,2,0,1.33,5.5,8.5
2024-05-25,Milan,Salernitana,D,3,3,1.18,8.0,12.0
2024-05-26,Atalanta,Torino,H,3,0,3.3,3.5,2.1
2024-05-26,Napoli,Lecce,D,0,0,1.42,5.0,6.25
2024-05-26,Empoli,Roma,H,2,1,1.95,3.6,3.6
2024-05-26,Frosinone,Udinese,A,0,1,2.38,3.25,3.0
2024-05-26,Lazio,Sassuolo,D,1,1,1.36,5.25,7.5
2024-05-26,Verona,Inter,D,2,2,5.5,4.0,1.53
2024-06-02,Atalanta,Fiorentina,A,2,3,1.48,4.75,6.0
